theta1,theta2,theta3,x,y,phi
2.01,-2.33,0.28,15.23,5.51,-2.29
1.82,-2.24,-1.02,7.97,-4.3,-82.51
0.24,-1.43,-1.4,4.91,-12.15,-148.4
1.51,-1.76,-1.41,9.41,-2.45,-95.11
1.68,-0.37,-1.5,11.31,17.71,-10.89
0.56,-1.53,0.82,24.01,-4.43,-8.59
2.96,-2.04,0.9,-6.24,19.45,104.28
1.17,-0.99,1.33,14.35,20.98,86.52
3.05,-1.75,-1.05,2.41,13.02,14.32
3.01,-2.95,1.52,-0.02,11.91,90.53
1.9,-0.15,0.87,-13.69,24.29,150.11
1.49,-0.89,-0.67,19.04,14.91,-4.01
0.97,-0.05,-1.02,21.66,15.21,-5.73
2.09,-1.7,0.17,12.76,17.8,32.09
0.45,-0.28,-0.46,28.44,3.18,-16.62
1.19,-0.35,0.45,13.16,26.34,73.91
0.85,-1.72,-1.46,6.16,-7.38,-133.5
0.1,-1.64,-0.78,3.45,-16.32,-132.93
1.7,-0.38,-1.24,11.16,20.4,4.58
2.62,-1.37,0.56,-7.89,24.19,103.71
0.69,-0.03,-0.02,23.63,18.47,36.67
1.9,-2.08,-1.09,9.57,-1.88,-72.77
1.85,-2.59,1.41,12.47,9.08,38.39
3.1,-0.09,-0.76,-26.19,9.51,128.92
2.07,-2.85,-0.45,5.66,-7.68,-70.47
0.33,-1.72,1.23,21.13,-8.19,-9.17
1.21,-1.9,-0.21,17.46,-4.84,-51.57
0.89,-1.17,-1.32,15.61,-4.99,-91.67
3.13,-2.03,0.63,-7.05,18.9,99.12
0.04,-1.36,0.73,20.78,-14.85,-33.8
0.46,-2.14,0.7,13.44,-13.81,-56.15
0.88,-2.06,1.34,20.05,0.05,9.17
0.38,-1.03,-0.58,20.59,-11.77,-70.47
0.63,-0.27,-0.79,26.53,5.25,-24.64
3.04,-0.74,-0.32,-20.59,17.65,113.45
2.07,-0.32,-0.01,-8.25,28.48,99.69
0.16,-1.63,1.08,20.13,-12.16,-22.35
0.34,-2.83,1.16,3.86,-12.44,-76.2
1.52,-1.39,-1.5,12.42,1.48,-78.5
1.12,-0.95,-0.72,22.74,5.47,-31.51
1.75,-2.25,-0.26,14.24,-1.84,-43.54
0.81,-0.34,0.45,21.87,19.73,52.71
0.33,-2.43,-1.48,-4.64,-1.15,-205.12
1.29,-0.41,0.88,7.26,27.14,100.84
2.24,-2.18,0.97,8.93,17.02,59.01
2.25,-1.5,-1.51,8.28,7.71,-43.54
1.33,-1.45,-0.77,18.61,0.74,-50.99
0.64,-2.78,-1.0,-7.37,-2.47,-179.91
0.43,-1.94,0.1,11.3,-15.68,-80.79
0.37,-0.39,-0.8,26.14,-3.9,-46.98
2.6,-1.24,0.37,-8.06,24.81,99.12
0.24,-0.96,-1.4,12.01,-12.75,-121.47
2.2,-2.69,-1.11,2.65,-6.62,-91.67
2.29,-2.7,-0.04,11.59,-0.81,-25.78
1.98,-0.48,0.77,-9.71,26.8,130.06
0.09,-2.42,-1.5,-4.65,-0.0,-219.44
1.18,-0.99,1.52,12.24,21.04,97.98
0.98,-2.57,0.25,7.67,-11.43,-76.78
1.83,-0.55,-1.09,10.12,21.13,10.89
1.84,-1.73,-1.0,13.57,2.97,-50.99
2.87,-0.44,-0.46,-21.09,18.43,112.87
2.1,-0.03,-0.8,-6.87,26.96,72.77
0.16,-1.4,0.73,21.85,-12.75,-29.22
0.96,-0.11,1.31,6.78,24.02,123.76
0.98,-2.39,0.71,14.82,-8.01,-40.11
2.15,-0.26,0.94,-18.13,20.93,162.15
2.16,-2.15,1.08,9.07,17.28,62.45
1.23,-1.67,-0.17,20.59,-0.56,-34.95
1.54,-2.01,-0.88,11.41,-4.29,-77.35
2.26,-2.78,0.87,11.71,6.18,20.05
1.35,-1.16,-0.67,20.88,7.03,-27.5
1.05,-0.32,-0.96,22.16,13.06,-13.18
0.63,-1.27,-1.42,11.4,-8.91,-118.03
1.97,-2.69,0.58,13.53,1.22,-8.02
0.99,-0.36,-1.47,20.24,6.81,-48.13
1.46,-2.32,-0.66,8.14,-7.63,-87.09
1.73,-1.91,-0.85,13.4,-0.49,-59.01
2.7,-2.98,0.96,8.35,7.8,38.96
2.47,-2.66,-0.64,8.74,-3.05,-47.56
1.76,-3.11,0.7,8.27,-5.99,-37.24
1.89,-2.67,-0.16,9.87,-5.61,-53.86
2.24,-1.71,0.59,6.78,21.9,64.17
2.89,-1.17,0.58,-17.83,19.84,131.78
0.74,-0.68,-0.63,25.79,1.95,-32.66
0.05,-0.57,0.4,28.59,-5.67,-6.88
1.73,-2.04,0.91,16.19,12.47,34.38
1.8,-2.64,0.65,14.22,0.4,-10.89
2.84,-0.72,0.0,-19.99,20.03,121.47
2.49,-2.34,1.02,5.84,16.77,67.04
2.61,-1.19,-0.88,1.46,20.1,30.94
2.47,-2.01,1.43,-2.01,20.16,108.29
0.13,-0.3,-1.05,23.21,-9.79,-69.9
0.1,-3.07,1.52,1.3,-10.64,-83.08
0.98,-3.0,0.27,-0.55,-10.54,-100.27
0.68,-1.3,-0.17,22.95,-6.63,-45.26
1.44,-2.2,-1.35,3.42,-5.56,-120.89
2.21,-1.05,0.41,-1.96,27.19,89.95
0.28,-1.36,-0.33,15.92,-15.93,-80.79
0.86,-0.56,0.67,21.73,18.78,55.58
1.66,-1.87,0.46,18.58,10.35,14.32
0.99,-0.38,1.2,11.31,23.8,103.71
3.02,-0.76,-1.56,-8.64,15.37,40.11
2.73,-1.16,0.43,-13.32,23.09,114.59
2.11,-1.86,-0.21,14.55,11.46,2.29
2.74,-1.66,1.13,-10.46,20.75,126.62
2.11,-3.13,0.64,9.39,-3.65,-21.77
0.97,-0.93,1.52,15.75,18.65,89.38
1.95,-0.85,0.71,-1.54,27.92,103.71
0.48,-2.4,-1.53,-4.08,-1.74,-197.67
2.87,-2.61,-0.26,10.03,5.25,0.0
2.01,-0.4,-0.19,-3.14,28.93,81.36
0.78,-3.13,1.05,2.76,-9.72,-74.48
0.49,-0.95,0.81,27.18,3.7,20.05
1.35,-0.41,0.73,7.1,27.78,95.68
0.23,-1.09,-1.46,9.45,-12.62,-132.93
0.83,-0.53,0.54,22.98,17.78,48.13
2.6,-2.43,-0.56,10.54,3.04,-22.35
1.91,-2.47,1.1,13.72,9.26,30.94
0.57,-2.49,0.76,8.99,-13.17,-66.46
2.48,-2.0,1.35,-1.58,20.43,104.85
0.83,-2.07,-1.05,3.41,-9.6,-131.21
1.22,-2.11,0.13,16.98,-5.27,-43.54
0.35,-0.48,-0.42,27.83,-3.09,-31.51
1.48,-0.74,-0.05,16.0,23.07,39.53
1.08,-0.08,-1.19,19.94,15.35,-10.89
2.21,-0.26,1.4,-19.45,15.25,191.94
0.49,-1.33,-0.95,13.32,-12.5,-102.56
0.63,-0.4,0.56,24.86,15.27,45.26
1.06,-0.95,-1.15,19.89,1.2,-59.59
1.35,-0.15,-0.23,11.47,27.33,55.58
2.28,-0.86,1.24,-13.87,22.11,152.41
2.87,-1.05,0.64,-19.87,18.67,140.95
1.74,-1.43,1.38,6.65,22.84,96.83
2.93,-3.14,-1.48,-1.19,-9.91,-96.83
2.78,-0.94,-0.23,-12.4,23.17,92.25
1.71,-1.86,-1.13,11.37,-1.17,-73.34
2.54,-0.03,-0.56,-20.02,20.85,111.73
2.85,-2.14,-0.99,7.62,6.63,-16.04
0.11,-1.85,1.34,17.47,-12.65,-22.92
0.35,-2.15,0.01,4.95,-16.07,-102.56
0.32,-2.37,-0.97,-5.04,-6.94,-173.03
1.42,-0.39,-0.9,16.57,19.76,7.45
1.13,-1.01,-0.83,21.78,3.72,-40.68
0.58,-2.88,-1.02,-8.14,-0.2,-190.22
2.42,-2.14,1.07,4.29,19.13,77.35
1.24,-2.69,1.06,13.7,-4.27,-22.35
0.38,-2.14,-0.3,2.71,-14.94,-118.03
2.11,-2.24,-0.34,13.7,2.76,-26.93
1.06,-2.77,0.73,9.07,-9.48,-56.15
2.43,-1.31,-0.75,6.11,19.15,21.2
2.98,-0.25,-1.21,-18.53,15.6,87.09
0.3,-2.52,-0.44,-5.35,-9.64,-152.41
2.62,-0.98,0.2,-12.02,24.6,105.42
1.5,-1.2,-0.12,20.1,14.72,10.31
0.63,-2.16,-1.36,-1.2,-6.59,-165.58
3.09,-2.73,0.43,6.41,11.14,45.26
2.27,-0.29,0.08,-15.11,25.66,118.03
1.89,-0.47,-0.36,3.25,28.1,60.73
3.01,-1.18,0.58,-19.92,17.66,138.08
1.41,-0.1,1.0,-2.56,26.92,132.35
0.74,-0.54,-0.46,26.85,6.16,-14.9
1.08,-1.87,-0.12,17.89,-6.18,-52.14
2.13,-3.02,1.29,10.2,4.6,22.92
1.15,-1.89,-0.34,16.18,-6.43,-61.88
0.57,-2.77,-0.11,-4.2,-10.08,-132.35
2.7,-1.18,0.3,-11.0,23.95,104.28
2.0,-1.81,-1.03,12.33,3.54,-48.13
0.42,-2.87,0.91,1.74,-12.3,-88.24
2.27,-1.99,0.65,9.15,18.43,53.29
0.31,-2.07,-0.45,1.68,-14.8,-126.62
1.82,-0.8,1.24,-3.59,25.93,129.49
2.85,-1.71,1.02,-10.96,20.27,123.76
1.79,-0.04,-0.87,2.41,27.31,50.42
2.05,-0.52,-0.71,2.62,26.18,46.98
0.79,-0.17,1.15,13.2,22.72,101.41
2.36,-0.38,-0.12,-13.93,25.8,106.57
0.22,-0.6,-1.44,16.58,-11.22,-104.28
1.27,-1.07,1.42,12.27,21.53,92.82
2.99,-0.42,0.1,-27.2,11.46,152.98
1.34,-0.21,-0.65,15.42,23.4,27.5
1.09,-3.04,-0.77,-8.2,-4.52,-155.84
2.31,-1.84,0.24,9.76,18.44,40.68
0.19,-1.28,-0.17,17.5,-16.5,-72.19
2.53,-2.23,0.44,8.75,15.44,42.4
2.76,-1.13,-0.97,-1.97,19.84,37.82
0.38,-3.01,-0.87,-8.8,2.32,-200.54
2.47,-1.61,1.15,-5.56,22.85,115.16
1.19,-2.98,0.0,-0.63,-10.24,-102.56
0.91,-2.21,-1.39,-0.19,-6.1,-154.13
0.57,-2.2,-1.2,-1.69,-7.65,-162.15
1.65,-2.36,-0.35,11.68,-5.27,-60.73
1.06,-1.37,-1.23,14.72,-4.32,-88.24
0.24,-2.68,0.77,1.08,-14.03,-95.68
2.61,-1.52,0.92,-8.25,22.99,115.16
2.77,-2.54,-0.84,8.62,0.18,-34.95
1.69,-1.19,-0.58,17.55,13.92,-4.58
1.35,-2.54,0.75,14.95,-3.79,-25.21
2.17,-2.1,0.57,12.36,14.93,36.67
1.54,-1.57,-0.31,19.73,6.36,-19.48
3.03,-2.7,0.26,7.83,9.92,33.8
0.75,-0.94,1.09,23.35,12.76,51.57
2.49,-1.06,0.8,-12.67,23.87,127.77
1.22,-0.15,0.48,8.45,28.16,88.81
0.96,-2.25,0.45,15.18,-8.86,-48.13
0.82,-2.96,-1.15,-8.46,0.37,-188.5
1.47,-0.84,0.64,12.05,25.39,72.77
1.33,-2.65,1.05,14.5,-2.64,-15.47
0.85,-0.38,0.24,23.1,18.56,40.68
1.66,-1.06,1.43,2.93,24.57,116.31
2.85,-2.67,-1.2,5.49,-3.86,-58.44
2.41,-0.12,-0.23,-18.73,23.03,118.03
0.17,-2.26,-0.39,-3.0,-13.13,-142.09
2.91,-2.84,-0.57,9.02,-1.8,-28.65
2.9,-1.65,1.48,-15.72,15.88,156.42
1.13,-1.63,-1.11,12.65,-5.74,-92.25
1.97,-0.61,0.27,-2.39,28.97,93.39
2.71,-0.46,-0.47,-17.44,21.75,101.99
1.54,-1.11,0.02,18.4,18.51,25.78
2.5,-0.68,-0.23,-10.67,25.67,91.1
0.55,-0.89,-0.3,25.97,-4.08,-36.67
0.5,-2.15,-1.36,-1.93,-6.49,-172.46
2.81,-2.39,0.0,8.81,11.41,24.06
3.08,-1.3,-1.01,-4.88,17.36,44.12
0.21,-0.05,1.04,23.28,13.0,68.75
1.09,-2.15,-0.26,12.0,-9.54,-75.63
2.38,-1.54,0.1,5.34,22.42,53.86
0.67,-1.11,-0.69,21.15,-7.09,-64.74
2.25,-0.38,1.18,-19.19,18.25,174.75
0.11,-0.91,1.23,26.0,-1.91,24.64
2.91,-1.03,1.13,-22.69,13.13,172.46
1.61,-2.75,-0.46,3.49,-9.09,-91.67
2.6,-0.91,0.42,-14.89,23.67,120.89
1.14,-0.05,0.15,12.05,27.41,71.05
1.83,-2.51,-1.53,-0.75,-4.65,-126.62
1.34,-0.02,-0.1,8.21,28.81,69.9
2.52,-0.51,1.27,-22.29,13.49,187.93
2.94,-1.73,-0.56,1.69,17.41,37.24
2.36,-1.02,0.69,-9.24,25.74,116.31
0.88,-1.16,-0.37,23.94,-1.11,-37.24
1.48,-0.97,1.16,8.64,24.79,95.68
0.06,-2.63,0.2,-5.6,-11.78,-135.79
3.06,-0.54,1.51,-24.4,-1.12,230.9
1.66,-2.41,0.35,15.64,-0.75,-22.92
0.53,-2.49,1.23,12.29,-10.87,-41.83
1.79,-1.15,-0.93,15.43,12.87,-16.62
1.89,-1.11,0.73,4.58,26.51,86.52
2.86,-2.61,-1.44,3.8,-4.03,-68.18
2.37,-1.49,0.58,0.31,24.62,83.65
0.45,-0.38,0.82,25.27,12.82,50.99
0.4,-3.12,0.82,-3.15,-9.66,-108.86
2.88,-1.32,-0.54,-4.32,21.11,58.44
2.28,-1.51,-0.26,9.39,19.43,29.22
1.56,-2.07,0.84,18.3,8.36,18.91
2.64,-1.77,-0.89,7.68,12.25,-1.15
0.26,-2.24,0.27,4.3,-16.51,-97.98
1.41,-0.04,0.08,4.8,29.6,83.08
2.74,-2.69,1.34,2.58,14.25,79.64
2.58,-3.08,-0.79,3.08,-9.08,-73.91
0.77,-0.01,-1.47,22.01,7.33,-40.68
2.64,-1.7,1.15,-7.83,21.57,119.75
0.32,-1.12,0.31,25.28,-8.73,-28.07
3.08,-3.07,1.35,2.11,10.49,77.92
0.95,-0.74,0.5,23.18,16.74,40.68
1.6,-2.24,0.69,17.72,4.52,2.86
1.05,-2.27,1.46,18.13,1.66,13.75
2.19,-2.17,-0.52,12.97,3.55,-28.65
0.07,-3.1,-1.0,-6.27,7.35,-230.9
1.19,-2.55,-1.29,-3.01,-5.22,-151.83
0.93,-0.06,-1.45,20.79,10.18,-33.23
0.93,-1.78,-1.01,9.73,-9.08,-106.57
1.01,-1.81,0.95,22.17,2.79,8.59
2.58,-1.37,-0.9,4.59,17.73,17.76
1.29,-1.68,0.36,22.02,5.51,-1.72
0.96,-2.35,-0.58,3.65,-10.86,-112.87
1.45,-0.49,0.56,7.45,28.11,87.09
1.55,-2.36,0.1,14.69,-3.76,-40.68
1.22,-1.73,1.34,18.91,11.89,47.56
0.38,-1.73,0.83,20.15,-11.02,-29.79
0.6,-1.09,-1.45,13.47,-8.39,-111.15
0.4,-1.76,-0.12,12.21,-15.84,-84.8
3.0,-1.48,0.89,-16.83,18.08,138.08
2.88,-0.21,-1.11,-18.46,17.13,89.38
2.31,-2.48,-0.63,10.09,-1.48,-45.84
2.47,-0.21,-0.28,-18.17,23.11,113.45
0.02,-2.27,0.82,5.12,-17.48,-81.93
2.49,-2.62,-1.1,5.31,-4.66,-70.47
3.04,-0.98,0.37,-22.22,16.37,139.23
2.16,-2.84,0.11,10.64,-3.37,-32.66
0.21,-1.75,-0.52,5.39,-16.74,-118.03
0.16,-1.31,1.42,23.59,-4.87,15.47
0.19,-1.92,0.99,15.62,-14.73,-42.4
0.24,-1.92,1.49,18.44,-9.45,-10.89
0.18,-1.74,0.03,10.35,-18.2,-87.66
1.4,-2.88,-0.89,-4.56,-7.08,-135.79
0.58,-2.76,0.21,-1.24,-11.93,-112.87
2.97,-2.07,-0.66,6.08,11.92,13.75
1.05,-0.18,-0.62,21.11,18.79,14.32
2.12,-0.68,1.26,-12.96,22.72,154.7
1.51,-1.55,-1.24,13.47,0.0,-73.34
0.37,-2.71,-1.01,-7.42,-1.5,-191.94
1.09,-2.87,-0.82,-6.02,-6.07,-148.97
2.74,-2.91,1.3,4.92,11.26,64.74
2.15,-0.26,-0.61,-5.74,27.44,73.34
0.94,-1.64,-0.29,19.03,-6.73,-56.72
0.57,-1.28,-1.53,9.8,-8.97,-128.34
2.44,-2.67,0.47,11.81,6.55,13.75
0.23,-1.89,1.54,18.77,-8.88,-6.88
1.03,-1.12,1.08,20.59,16.03,56.72
1.77,-0.33,-1.42,9.32,19.92,1.15
2.25,-2.9,-0.63,4.55,-7.85,-73.34
0.88,-3.1,-1.03,-9.62,0.82,-186.21
2.6,-2.21,-0.56,10.54,7.27,-9.74
0.14,-1.1,0.85,25.58,-7.89,-6.3
2.61,-1.83,-1.3,7.17,7.13,-29.79
2.3,-2.06,0.71,8.87,17.97,54.43
1.59,-2.19,0.96,17.42,7.87,20.63
0.48,-2.75,-1.2,-7.03,0.19,-198.82
3.03,-2.05,1.03,-8.62,18.47,115.16
0.87,-0.91,1.55,17.05,17.22,86.52
2.12,-0.07,-0.12,-13.35,26.76,110.58
0.81,-0.83,-1.32,19.18,-2.69,-76.78
1.31,-0.8,-0.85,20.73,11.21,-19.48
3.1,-2.1,-0.72,5.02,11.59,16.04
1.46,-2.93,-1.51,-7.76,-1.62,-170.74
1.51,-0.35,-0.76,13.81,23.04,22.92
0.01,-2.09,0.35,3.54,-18.5,-99.12
3.07,-1.74,-1.1,2.15,12.71,13.18
2.95,-1.66,1.08,-14.21,18.49,135.79
2.89,-2.19,0.5,1.59,18.25,68.75
0.81,-2.14,0.02,11.86,-12.13,-75.06
2.35,-2.09,0.8,7.53,18.41,60.73
2.73,-1.7,-0.14,2.28,20.34,50.99
2.24,-0.17,-0.6,-9.98,26.57,84.22
1.41,-1.38,0.99,16.83,18.69,58.44
1.04,-0.43,0.22,20.01,21.73,47.56
2.56,-0.5,-1.4,-5.16,20.45,37.82
2.44,-0.58,-1.34,-1.81,21.01,29.79
2.23,-2.71,0.83,12.14,6.72,20.05
0.66,-2.95,-0.89,-8.68,-1.01,-182.2
0.72,-2.92,0.84,3.73,-11.27,-77.92
2.36,-1.19,0.1,-0.23,25.8,72.77
0.73,-1.95,1.36,20.79,-1.33,8.02
2.77,-1.6,0.7,-8.36,22.39,107.14
1.74,-1.2,0.29,13.64,22.38,47.56
2.1,-0.57,-1.17,4.72,22.15,20.63
2.36,-2.9,1.26,9.0,8.5,41.25
2.02,-2.81,-0.84,2.1,-8.08,-93.39
3.07,-3.02,1.51,0.12,11.21,89.38
1.38,-1.7,1.0,19.16,12.96,38.96
0.01,-0.83,0.02,23.79,-14.39,-45.84
2.77,-1.72,-1.23,5.5,10.51,-10.31
1.92,-2.06,-0.7,13.16,0.55,-48.13
2.72,-0.2,0.87,-26.95,7.46,194.23
0.79,-1.32,-1.43,11.87,-7.2,-112.3
0.26,-3.04,-0.14,-9.44,-3.16,-167.3
3.08,-0.94,-0.86,-12.5,18.62,73.34
2.43,-2.42,1.36,4.42,16.43,78.5
0.3,-0.75,1.4,24.37,6.74,54.43
2.8,-2.94,-1.33,1.49,-7.99,-84.22
2.61,-0.23,-0.44,-19.47,21.3,111.15
1.33,-1.55,0.96,19.53,14.27,42.4
2.78,-0.51,-0.09,-21.51,19.39,124.9
2.31,-1.32,0.73,-2.74,25.64,98.55
0.52,-0.52,-0.83,25.43,-2.41,-47.56
2.48,-2.45,-1.03,7.51,-1.97,-57.3
2.64,-1.41,-1.53,4.13,11.28,-17.19
1.48,-1.62,-1.13,13.77,-0.99,-72.77
1.7,-0.62,-0.09,8.91,27.1,56.72
1.2,-1.25,0.98,19.59,16.84,53.29
1.9,-2.5,0.53,15.0,3.12,-4.01
0.46,-3.03,-0.11,-8.4,-5.42,-153.55
1.89,-1.54,0.59,12.15,21.0,53.86
1.65,-1.23,-0.58,18.21,12.45,-9.17
0.2,-1.07,0.63,25.96,-8.03,-13.75
0.89,-0.6,-1.12,22.63,3.25,-47.56
0.29,-1.26,0.34,23.32,-11.28,-36.1
0.79,-1.08,-0.54,23.37,-3.14,-47.56
1.93,-2.13,-0.31,15.01,2.49,-29.22
0.08,-1.99,1.46,15.65,-12.98,-25.78
1.62,-1.42,-1.33,13.58,2.93,-64.74
2.79,-2.99,0.92,7.93,8.05,41.25
2.49,-0.67,-0.32,-9.71,25.73,85.94
0.13,-1.71,-0.16,8.14,-18.56,-99.69
2.22,-1.36,-0.18,8.25,21.83,38.96
1.95,-0.84,1.05,-4.81,26.56,123.76
1.59,-2.38,0.43,16.21,-0.63,-20.63
1.16,-1.88,0.87,21.4,4.07,8.59
1.47,-1.22,-0.86,18.89,6.69,-34.95
1.79,-2.82,0.51,11.65,-3.78,-29.79
3.02,-0.44,0.52,-28.38,6.95,177.62
2.74,-2.02,-1.02,7.87,7.55,-17.19
1.7,-3.11,0.63,7.42,-6.99,-44.69
2.87,-1.27,0.16,-11.81,22.5,100.84
2.26,-1.16,0.68,-3.9,26.41,101.99
0.02,-0.74,1.48,24.76,0.5,43.54
0.17,-2.93,-0.74,-8.79,1.48,-200.54
0.24,-1.67,0.57,17.64,-15.1,-49.27
1.39,-1.08,-1.15,18.0,5.44,-48.13
0.76,-0.09,0.96,14.49,23.08,93.39
0.27,-1.16,0.22,23.77,-11.31,-38.39
0.23,-0.11,-0.66,28.24,-1.66,-30.94
0.09,-1.27,-1.07,7.49,-16.13,-128.92
2.31,-1.03,-0.06,-0.43,26.36,69.9
0.24,-0.87,-1.26,14.66,-13.01,-108.29
1.6,-0.0,-0.95,7.38,26.04,37.24
2.78,-1.75,1.13,-9.76,20.42,123.76
1.21,-1.13,-0.5,22.63,6.08,-24.06
1.84,-2.11,0.73,15.94,11.41,26.36
2.06,-2.42,0.26,14.61,4.31,-5.73
2.17,-0.15,0.73,-19.23,21.08,157.56
0.47,-2.55,-0.21,-2.55,-11.73,-131.21
0.01,-0.82,-0.28,21.52,-16.01,-62.45
1.32,-2.24,0.5,17.67,-2.35,-24.06
0.18,-2.51,0.09,-3.25,-13.31,-128.34
2.67,-0.71,-0.5,-11.6,23.73,83.65
0.5,-1.95,-0.47,6.56,-14.53,-110.01
1.18,-2.95,-0.56,-5.05,-7.81,-133.5
1.8,-1.99,-1.22,9.15,-2.02,-80.79
1.61,-1.28,-1.1,16.25,6.27,-44.12
0.14,-0.06,0.96,24.93,10.82,59.59
1.22,-1.2,0.7,20.95,16.18,41.25
2.48,-0.71,-0.7,-5.07,24.72,61.31
1.22,-1.3,0.99,19.54,16.49,52.14
2.39,-1.73,-0.23,9.68,17.13,24.64
0.88,-1.9,-0.23,14.76,-10.3,-71.62
1.9,-0.09,-0.3,-4.99,29.16,86.52
1.32,-0.76,0.21,18.13,21.96,44.12
0.67,-1.2,-1.4,12.95,-8.21,-110.58
1.34,-0.45,0.71,8.29,27.5,91.67
0.96,-0.08,-1.16,21.72,13.14,-16.04
0.34,-1.69,0.97,20.9,-10.13,-21.77
0.31,-2.07,1.48,17.25,-9.53,-16.04
2.26,-2.27,1.17,7.63,16.79,66.46
1.0,-2.81,0.03,0.96,-11.08,-101.99
0.94,-1.21,-0.32,23.84,-0.16,-33.8
0.98,-1.1,1.34,18.93,16.5,69.9
0.35,-1.24,0.5,24.94,-8.14,-22.35
2.42,-1.53,-0.16,6.24,21.05,41.83
2.88,-2.15,-1.48,5.11,2.44,-42.97
1.68,-1.61,-0.13,18.87,10.04,-3.44
1.73,-2.49,-0.72,6.57,-6.97,-84.8
0.7,-2.19,-1.17,-0.41,-8.16,-152.41
2.57,-2.21,0.57,6.93,16.95,53.29
2.23,-3.1,0.92,10.31,0.76,2.86
0.31,-3.03,-0.07,-8.99,-4.49,-159.86
1.07,-2.28,-0.52,6.75,-10.46,-99.12
2.68,-2.03,-1.16,7.73,5.62,-29.22
1.27,-2.41,-0.57,5.75,-9.44,-97.98
2.76,-0.15,0.05,-26.76,13.42,152.41
1.14,-1.39,-0.54,20.9,-0.49,-45.26
2.62,-1.2,0.18,-7.46,24.86,91.67
0.64,-0.47,-0.27,27.83,6.67,-5.73
0.05,-1.97,-1.38,-3.31,-7.32,-189.08
1.89,-2.6,-0.71,5.95,-6.91,-81.36
0.98,-1.45,0.74,24.12,6.44,15.47
1.4,-2.34,-1.43,0.43,-5.19,-135.79
0.98,-0.13,-0.75,22.12,16.82,5.73
0.99,-0.82,-1.38,18.87,0.7,-69.33
3.06,-0.6,0.75,-27.71,6.43,183.92
0.43,-0.92,0.57,27.88,0.26,4.58
1.67,-2.55,0.21,13.22,-3.97,-38.39
0.87,-2.5,-1.44,-4.12,-3.05,-175.9
1.74,-1.54,0.79,13.6,20.2,56.72
2.88,-2.17,-0.49,7.68,11.29,12.61
1.73,-0.47,1.5,-7.81,23.12,158.14
0.18,-1.06,1.21,25.67,-2.68,18.91
1.05,-0.91,0.08,24.64,12.25,12.61
1.68,-1.7,0.15,18.82,11.04,7.45
0.25,-0.71,-1.47,15.13,-11.33,-110.58
1.81,-1.95,-1.36,8.24,-1.66,-85.94
1.25,-1.85,-1.38,7.43,-5.33,-113.45
1.29,-1.66,-1.1,13.1,-3.96,-84.22
0.41,-3.0,0.08,-7.42,-7.16,-143.81
1.65,-0.89,0.85,6.07,26.85,92.25
0.32,-0.6,-1.18,20.21,-9.56,-83.65
3.04,-0.66,0.5,-26.85,10.5,165.01
2.95,-0.52,-0.09,-24.35,15.62,134.07
2.32,-2.35,0.39,12.54,10.55,20.63
2.02,-0.61,0.14,-2.53,28.88,88.81
1.02,-1.57,0.74,23.58,5.18,10.89
1.86,-1.58,0.62,12.97,20.18,51.57
0.67,-1.94,-0.23,11.51,-13.32,-85.94
0.4,-0.87,-0.06,26.75,-5.69,-30.37
2.97,-0.55,-0.46,-21.16,17.57,112.3
1.76,-2.16,0.7,16.88,8.88,17.19
0.25,-1.05,-0.12,22.71,-12.66,-52.71
0.39,-1.36,1.26,24.48,-1.59,16.62
0.31,-1.7,-1.47,1.72,-9.57,-163.87
0.44,-2.07,-1.17,-0.97,-9.07,-160.43
1.01,-2.19,-0.63,6.76,-10.49,-103.71
1.55,-2.91,1.36,12.3,0.22,0.0
0.48,-2.93,-0.88,-8.66,0.11,-190.79
2.44,-0.82,0.03,-8.92,26.41,94.54
1.43,-0.41,0.42,7.94,28.34,82.51
1.52,-0.33,1.28,-3.6,25.49,141.52
0.09,-2.22,-1.41,-4.56,-3.7,-202.83
0.78,-0.53,-0.59,26.23,6.17,-19.48
2.28,-0.95,-0.99,5.3,20.64,19.48
0.46,-1.81,0.38,16.8,-13.57,-55.58
1.19,-2.46,-1.01,0.17,-7.86,-130.63
2.18,-1.95,-1.14,10.15,2.59,-52.14
1.97,-1.45,1.52,0.27,23.1,116.88
2.74,-2.45,0.84,4.64,15.81,64.74
1.52,-2.29,0.97,17.49,5.01,11.46
1.28,-3.07,-1.23,-9.23,-1.39,-173.03
1.41,-0.62,-0.16,16.72,22.87,36.1
1.15,-2.82,-0.4,-1.69,-9.6,-118.6
3.05,-0.23,0.5,-29.29,2.3,190.22
0.83,-3.02,-0.78,-8.91,-2.47,-170.17
2.9,-1.81,0.09,-1.28,20.5,67.61
0.63,-2.01,0.82,18.45,-9.24,-32.09
1.04,-0.51,-0.52,23.69,13.78,0.57
2.45,-0.98,-0.92,1.83,21.55,31.51
1.93,-1.42,-0.15,14.57,17.77,20.63
2.95,-0.69,1.28,-25.39,5.74,202.83
0.42,-1.09,0.71,26.96,-1.73,2.29
2.49,-1.37,-1.41,5.99,12.21,-16.62
2.14,-2.51,0.59,13.69,6.99,12.61
2.1,-1.36,0.31,7.31,24.05,60.16
2.96,-0.75,-1.44,-8.62,16.79,44.12
0.65,-1.4,-0.27,20.51,-9.29,-58.44
2.09,-1.75,-1.51,8.37,2.81,-67.04
1.81,-1.19,-0.49,15.69,16.82,7.45
